Device,Time,Date,(1) Map,(1) Waits,(1) Shows,(1) Tips,(1) Bonus,(1) Game,(2) Not work as expected?,If yes...,(3) Influence?,If yes...,(4) Enough time?,If no...,(5) Overall Experience,(5a) Why?,(6) Merchandise Locations,(6a) What drove decision?,(7) Amount on merchandise,(8) F&B Locations,(8a) What drove decisions?,(9) Amount on F&B,(10) Meals eaten,(11) Attractions visisted,(13) Experience #1,(13) Experience #2,(13) Experience #3,(14) Age of user,(14) Gender of user,(15) Paper map?,(16) Paper schedule?,(17) Get lost?,(18) How closely did you follow plan?,(18a) What diverted original plans?,(19) Ride because of low wait times?,(19a) If yes....,(20) Get fast passes?,(20a) If yes...,(20c) Use them?,(20c) If no...,(21) Group split?,(21a) If yes...,(21b) Who kept the device?,(22) Other comments?
213,17:07:00,4/23/2011,3,3,3,5,6,2,No,,Yes,temps d'attente,no,,Just Okay,Maiwair GPS,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group did not purchase any meals or snacks at the Disneyland Paris resort today,Meal Vouchers,16,"Lunch, afternoon snack and dinner","Alice's Curious Labyrinth, Its a small world, Art of Disney Animation, Flying Carpets over agrabah, studio tram tour, cinemagique, rock n roller coaster, tower of terror, moteurs action stunt show",Peter pan,Pirates of the carribean,toy story,26,Female,Yes,Yes,A few times,Does not apply did not have a plan,Yes,,Yes,"Peter pan, Railroad mountain",Yes,,,,,,
213,17:00:00,4/24/2011,6,0,0,0,0,,no,,no,,yes,,very good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland paris resort today,,,,,,,,,,,,,,,,,,,,,,,,
213,19:15:00,4/25/2011,7,7,0,5,0,0,No,,No,,No,,Very Good,,My group has not purchased any merchandise from the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris resort today,,30,Lunch and afternoon snack,"La Cabane des Robinson, Captain EO, Flying Carpets over Agrabah",,,,33,Male,Yes,No,Never,Exactly,Tired Children,Yes,,Yes,Fast Pass,Yes,,No,,,
213,17:30:00,4/26/2011,7,5,5,0,0,3,No,,No,,No,,Very Good,Agreeable,,Store look and feel and proximity,100,Disney Blockbuster Cafe,Wait times,150,"Breakfast, lunch, dinner","La cabane des robinson, le pays des contes de fees, its a small world, art of disney animation, stitch live, studio tram tour, rock n roller coaster, moteurs action stunt show, playhouse disney live on stage",Rock n roller coaster,animagic,poufees,35,Male,Yes,Yes,never,Loosely,tired children,Yes,rock n roller coaster,no,,,,No,,,
213,20:30:00,4/28/2011,7,7,7,7,6,7,No,,No,,No,,Excellent,,"Plaza west shop, La Girafe Curieuse","Merchandise offerings, Proximity",260,Restaurant Hakuna Matata,Proximity,110,Lunch,"La Cabane des robinson, Le pays des contes de fees, alice's Curious labyrinth",Petit train du grove ,Chanson du ronde,Alice/Telt wps,9,Female,No,no,Never,Closely,long waits,Yes,Chanson/Tea uups,No,,,,No,,,Bonne Intuative!!! le enfants mirent bien otiutation de bowvi ditlinie
213,12:41:00,4/27/2011,7,5,5,3,6,2,yes,at the end the device stopped working,no,,yes,,good,it was okay and useful,Disney Store,,50,"Buzz lightyears pizza planet, Pizzeria Bella Notte, Disney Blockbuster Cafe",Bonus,50,"Morning snack, lunch","Captain EO, Cinemagique",Buzz Lightyear,Peter Pan,Stitch Live,40,Male,yes,yes,never,closely,Tired Children,yes,Snow White,no,,,,no,,,
214,19:15:00,4/23/2011,7,7,1,4,4,7,4,No,,Yes,Waiting Times,No,Excellent,Useful,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group did not purchase any meals or snacks at the Disneyland Paris resort today,,,,,Nemo,Nemo,Nemo,18,Female,Yes,Yes,Once,Loosely,Long Waits,No,,Yes,Peter Pan and railroad mountain,Yes,,Yes,Too many to be all together,Shared between groups,What time restaurants stop serving would be helpful
214,19:15:00,4/24/2011,7,7,0,6,6,0,No,,no,,,,just okay,bad light,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland paris resort today,Food offerings and price,,,,Star Tours,Pirates of the Carribean,Cars,10,Female,Yes,yes,never,not at all,,yes,,yes,,yes,,yes,,,C'est Super
214,19:10:00,4/25/2011,3,5,0,5,6,0,No,,Yes,,Yes,Fast Passes Rock,Good,,My group has not purchased any merchandise from the Disneyland Paris Resort today,,,,Counter service vs table service,65,Lunch  ,"Alices curious labyrinth, Flying Carpets over agrabah, Armageddon, Rock n roller coaster",Rock n roller coaster,Tapis Volants,,43,Female,Yes,No,Never,Does not apply did not have a plan,,No,,Yes,Space Mountain and Indiana Jones,Yes,,Yes,different attractions,Adults,
214,16:42:00,4/28/2011,4,7,0,0,4,0,Yes,Not enough battery,No,,No,,Very Good,Very useful,La Girafe Curieuse,Merchandise Offerings,13.5,Agrabah Cafe Restaurant,Food offerings,100,Lunch,Its a small world,Space mountain,Phantom mansion,Marle des poyees,13,Male,No,No,Never,Closely,,No,,Yes,Space mountain,Yes,,No,,,
214,14:52:00,4/27/2011,4,4,4,4,4,4,,,,,,,Excellent,,"The Emporium, les legends de Hollywood",Bonus,,Agrabah Cafe,"Food offerings, proximity, bonus, reservations",500,Breakfast,"Its a small world, Art of disney animation",,,,40,,yes,yes,once,Exactly,Tired Children,yes,,no,,yes,,no,,,Very Very Good
215,18:24:00,4/23/2011,4,3,4,3,4,2,No,,No,,Yes,,Good,,,Merchandise Offerings,,My group did not purchase any meals or snacks at the Disneyland Paris resort today,,,,"Rock n Roller Coaster, Tower of terror",Tower of Terror,Space Mountain,Aerosmith,20,Male,Yes,No,Never,Does not apply did not have a plan,Long Waits,No,,Yes,,No,Gestion du temps,No,,,
215,20:45:00,4/24/2011,3,7,7,7,7,4,No,,yes,temps,no,ju trop tard,good,?,,"Merchandise offerings, store look and feel, proximity",50,"Agrabah cafe restaurant, disney blockbuster cafe",Counter service vs table service,,Afternoon snack,"le pays des contes de fees, its a small world, rock n roller coaster, tower of terror",Ascenteur,rock n roller coaster,,,female,yes,yes,once,Does not apply did not have a plan,Long waits,yes,Marege dig,yes,peter pan,Yes,,no,,,
215,12:15:00,4/26/2011,5,7,7,5,6,7,No,,Yes,The waits made us wanna go to a different attraction,no,, very good,,My group has not purchsed any merchandise at the Disneyland paris resort today,,,Buzz lightyear pizza planet,Food offerings,45,Lunch,"Its a small World, Flying carpets over agrabah",Buzz lightyear,Its a small world,Pirates of the Carribean,4,Male,No,Yes,never,Loosely,long waits,yes,its a small world,no,,,,no,,,
215,19:40:00,4/28/2011,6,4,3,2,2,5,No,,Yes,On satt lr temps d'attente,No,Pas d'intert pour le bonis,Very Good,Pratique,My group has not purchased any merchandise at the Disneyland Paris Resort today,"Merchandise Offerings, store look and feel",,Cafe Hyperion,Proximity,40,Lunch,"La cabane des robinson, alice's curious labyrinth, Captain EO",Autopia,Tasses,Alices' curious labyrinth,4-7-37-41,Male and female,No,no,Never,closely,long waits,Yes,tasses,Yes,Peter pan,Yes,,No,,,
215,19:30:00,4/27/2011,7,7,3,4,6,5,yes,"Bonuses came too late e.g. 15:00, Thunder Mesa at 16:40",yes,used the attraction with less waiting times,no,See no. 2 Bonuses came when finished,Excellent,it makes the day more planable,"The Emporium, Thunder Mea Mercantile, Walt Disney Studio Store, Disney Store, World of toys",,400,"Restaurant Hakuna Matata, Pizzeria Bella Notte, Disney Blockbuster Cafe",Bonus,350,Lunch and afternoon snack and evening snack,"Its a small world, stitch live, moteurs action stunt show",Pirates of the carribean,its a small world,peter pan,42,male,no,no,never,closely,long waits,yes,its a small world,no,,,,no,,,pleasesend the bonuses earlier
216,20:30:00,4/25/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,19:45:00,4/29/2011,7,7,3,0,4,2,No,,yes,35 min d'attente pirates on yeth alte',No,Troploin de fast pass talles,very good,pratique,Thunder mesa mercantile,merchandise offerings,140,Dans 1 autre,Wait times,57,Lunch,"Alice's curious labyrith, its a small world, flying carpets over agrabah, armageddon",Nemo,Alladin,Autopia,39,Male,yes,no,never,Does not apply did not have a plan,,yes,Pirates of the Carribean,yes,Buzz lightyear,yes,,yes,2 attractions differentes,Monseur,Sur Corte: l'allente devrait seffides lorosque lon selertionne l'attraction
217,20:20:00,4/23/2011,5,6,5,4,3,1,No,,Yes,,No,,Good,,Disney Park,Proximity,25,My group did not purchase any meals or snacks at the Disneyland Paris Resort Today,Wait times,,Lunch,,Tour,,,36,F,Yes,Yes,Never,Closely,Tired children,Yes,,No,,No,,No,,,
217,21:43:00,4/24/2011,5,6,5,3,3,2,Yes,information updating,yes,better plan my trips,no,,good,small disappointment but overall quite good,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,,,,,,,,,,,,,,,,,,,,,,
217,19:10:00,4/25/2011,6,4,5,4,4,6,Yes,,No,,Yes,When the device worked,Good,Useful,,Merchandise offerings,30,,,,,,Nemo,Moteurs action stunt show, ,"25,48",Female,Yes,No,Never,Does not apply did not have a plan,Long waits,Yes,Snow white,No,,,,No,,,The first device did not work - battery
217,17:10:00,4/26/2011,4,3,4,3,5,2,No,,,,Yes,,Good,Could be better,My group has not purchsed any merchandise at the Disneyland paris resort today,,,Disney Blockbuster Cafe,Proximity,60,Lunch and afternoon snack,"Stitch live, flying carpets over agrabah, studio tram tour, armageddon, playhouse disney live on stage",Armageddon,Studio Tram Tour,Armageddon,40,Male,yes,no,never,Does not apply did not have a plan,,Yes,Flying carpets over agrabah,no,,,,No,,,Make it an Iphone app
217,15:10:00,4/29/2011,6,5,3,2,2,5,No,,No,,No,Only 2 bonuses one was unsuitable for the rides,Good,,,Merchandise offerings,10,My group has not purchased any meals or snacks at the Disneyland Paris Resort this trip,,100,Breakfast and lunch,,Autorama,Small world,Stitch,5,Male,no,yes,never,closely,long waits,no,,no,,,,no,,,
217,18:00:00,4/30/2011,2,3,4,0,0,3,No,,Yes,,No,,Good,,,Store look and feel,150,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,0,0,0,0,0,0,Yes,P;us dis batterie adres 30 mn,,,,,Poor,Plus de batterie,Disney Store,Merchandise offerings,20,Au Chalet de la marionnette,,47,,Flying carpets over Agrabah,Buzz Lightyear,Blanche ? ,,,,Yes,Yes,Never,Does not apply did not have a plan,,No,,Yes,Buzz and Peter pan,Yes,,No,,,pas de batterie
217,18:55:00,4/27/2011,6,6,6,,,,no,,no,,yes,,good,,,,,"Buzz Lightyears Pizza Planet, Au chalet de la marionette, Pizzeria bella notte",food offerings and wait time,800,Breakfast,"Le pays des contes de fees, Alice's Curious Labyrinth, its a small world, Captain Eo, Artof Disney animation, stitch live, flying carpets over agrabah, studio tram tour, playhouse disney live on stage",,,,,,yes,no,never,closely,long waits,no,,no,,,,no,,,
218,16:40:00,4/24/2011,3,7,4,2,4,3,No,,yes,,no,,very good,pratique,My group has not purchased any merchandise at the Disneyland Paris Resort today,Merchandise offerings,60,Cafe Hyperion,Proximity,35,Lunch,"Its a small world, stitch live, cinemagique",Space mountain,Stitch live,its a small world,4,Female,Yes,yes,once,closely,long waits and tired children,yes,,yes,Space mountain,yes,,yes,enfants,papa,
219,16:00:00,4/24/2011,5,7,6,6,7,7,No,,No,,yes,,Good,,"The emporium, plaza west shop, walt disney studio store","Merchandise offerings, bonus, weather conditions",200,,Reservation,250,Lunch and dinner,"Le pays des contes de fees, its a small world, captain eo, studio tram tour, moteurs action stunt show, Playhouse Disney live on stage",,,,11,female,yes,yes,never,not at all,long waits  ,no,,no,,yes,,no,,,
219,21:00:00,4/25/2011,,5,,0,0,0,Yes,No details on attractions that were closed,Yes,,No,,Good,interesting,,,,,Other - meals included with hotel,20,Lunch,"Le pays des contes de fees, Alice's curious labyrinth",Le pays des contes de fees,,,38,Male,Yes,No,Never,Does not apply did not have a plan,,Yes ,Le pays des contes de fees,No,,,,No,Different,,
219,18:40:00,4/30/2011,6,6,0,3,0,5,Yes,Pertes de connecioi,Yes,Temps d'attank,No,,Very good,Utile & Pratique,My group has not purchased any merchandise at the Disneyland Paris Resort Today,,,Restaurant Hakuna Matata,"Food offerings, wait times, proximity",57,lunch and afternnoon snack,"La pays des Contez de Fees, Alice's Curious Labyrinth",Indiana Jones,Pirates of the Carribean,Phantom Mansion,13,F,Yes,No,Never,Does not apply did not have a plan,,Yes,La Maisou hautie,No,,,,No,,,liens entre les difficentes applications (temps - carte) . apre's una selection de critics. ll'appaiserl propose les attractions correspondante
219,20:45:00,4/30/2011,7,7,7,7,3,3,No,,No,,Yes,Cadeau devaul Stai Pass,Good,,Indiana JOnes Adventure outpost,Proximity,12,Agrabayh Cafe Restaurant,Wait time,36,Breakfast and Dinner,"Le pays des contes de fees, Alice's Curious Labyrinth, It's a small world, Cenemagique, Tower of Terror",Space Mountain,Pirates of the Carribean,Tower of Terror,36,F,No,Yes,Never,Does not apply - did not have a plan, ,Yes,,No,,,,No,,,Plus d' info sue les restaurants el uslaviabon rapide
219,15:10:00,6:29:00,6,5,3,2,2,5,no,,no,,no,"Only 2 bonuses, one was unsuitably for the ride. The restaurant was unknown to us",good,,,Merchandise offerings,10,My group has not purchased any meals or snacks at the Disneyland paris resort today,,100,Breakfast and Lunch,,Indiana Jones,Its a small world,Stitch Live,5,Male,No,yes,never,closely,long waits  ,no,,no,,,,no,,,
220,20:25:00,4/23/2011,7,7,,5,5,4,No,,No,,Yes,,Good,Easy Application,"Thunder mesa mercantile, tower Hotel Gifts, Art of Animation",Store look and feel ,80,Fuente del oro restaurante,,0,Lunch,"Captain EO, Cinemagique",,,,16,F,Yes,Yes,Never,Closely,Long Waits,Yes,Bateou,No,,,,No,,,
220,22:00:00,4/24/2011,,,,,,,Yes,,Yes,,No,,Excellent,,My group has not purchased any merchandise at the Disneyland Paris Resort today,"Store look and feel, Bonus",,"Fuente del oro restaurante, Au chalet de la marionnette","Food offerings, counter service vs table service",,Morning snack,its a small world  ,,,,,,,,once,Loosely,Bonuses,,,yes,,yes,,yes,,,
220,18:55:00,4/25/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,30:44:00,4/26/2011,4,7,5,1,0,4,Yes,Visitoilete au Soleil,Yes,Temps annonce por attraction,No,Patineue/attracti nou adoplee in la famille,Good,Nouque louchem alite,The Emporium,Merchandise offerings,100,Disney Blockbuster Cafe,,,,,,,,,,,,,,,,,,,,,,,,
220,18:55:00,4/29/2011,7,7,5,1,7,1,Yes,il se coyse tous seil,no,,no,teip trop cast ente le moment de recyclia du bonus,very good,Essoi sympathique,Indiana Jones Adventure Outpost,Other,150,My group has not purchased any meals or snacks at the Disneyland Paris Resort this trip,other,0,Dinner,"Le pays des contes de fees, Alic'es Curious Labyrinth, its a small world, captain EO",,,,30,Female,yes,yes,once,Exactly,long waits and tired children,yes,,yes,Tous.,yes/No,Mangu du temps,,Mangu pas altauctif por tross,,Privoir plus petit
220,15:09:00,4/30/2011,7,6,,6,5,6,No,,Yes,,No,,good,,,Merchandise offerings,150,Pizzaria Bella Notte,Proximity,60,breakfast and lunch,Armageddon,,,,,,Yes,Yes,Never,Loosely,tired children,no,,,,,,No,,,
220,20:21:00,4/27/2011,7,7,7,4,1,7,yes,recieved bonus too late,no,,no,received after the alotted time,very good,nice tool but could use some improvements,My group has not purchased any merchandise at the Disneyland paris resort today,,,Blue Lagoon,other,90,Dinner,"la cabane des robinson, Its a small world,, alice's curious labyrinth, captain eo, Tower of terror. ",Tower of terror,Space Mountain,Toy story rides,42,Male,no,no,never,loosely,long waits,yes,"space mountain, pirates of the carribean",yes,tower of terror,yes,,yes,other boys father-mother and younger child,mother,it would be nice if restaurants were on the maps ( and restrooms)
221,,,6,7,0,4,6,3,No,,Yes,Ordre des attractions,No,Pas interesse,Excellente,Tres pratique,"Walt Disney Studios Store, Les Legends de hollywood","Store look and feel, proximity",200,"Restaurant Hakuna Matata, Disney Blockbuster Cafe, Restarant en coulisse, buzz lightyears pizza planet",,,,,,,,,,,,,,,,,,,,,,,,
221,17:40:00,4/22/2011,7,7,5,7,7,4,no,,yes,bonus real 30% off pizza,yes,,excellent,with the help of discounts,,Merchandise offerings and store look and feel,100,Buzz Lightyears pizza planet,price,60,Lunch,Captain EO  ,Mission 2,Parade,Cars,15,Male,no,no,never,does not apply did not have a plan,tired children,yes,,no,,,,yes,long waits so 2 went o cars and 3 ent on mission space,son aged 15 on mission 2,"Easy to use, helpful and would help if I had ability to make restaurants bookings or see how busy they are with menu or prices"
222,,4/24/2011,6,6,5,3,3,3,No,,yes,,no,,good,,La girafe Curieuse,,30,"Restaurant Hakuna Matata, Pizzeria Bella Notte","Food offerings, wait times and price",80,Lunch and dinner,"Its a small world, rock n roller coaster, tower of terror",tower of terror,,,34,Female,yes,yes,a few times,closely,long waits,no,,yes,tower of terror,yes,,no,,,
222,18:45:00,4/25/2011,7,7,0,6,0,0,No,,Yes,,No,,Very good,useful,My group has not purchased any merchandise at the Disneyland Paris resort today,,,Cowboy Cookout BBQ,,,,,,,,,,,,,,,,,,,,,,,,
222,19:50:00,4/26/2011,5,5,5,3,3,2,No,,Yes,,No,,Good,,Walt Disney Studio Store,Merchandise offerings,4,My group has not purchased any meals at the disneyland paris resort today,,,,"Stitch live, flying carpets over agrabah, studio tram tour, cinemagique,Armageddon, tower of terror, moteurs action stunt show",Crush's coaster,,,16,Male,yes,yes,a few times,closely,long waits,yes,,no,,,,Yes,,,
222,20:30:00,4/30/2011,5,6,5,3,4,4,Yes,Direction to attractions not available,Yes,Arranged to see a show,No,wrong part of the park,Good,useful but stopped at 1pm - had to have it checked,Indiana Jones adventure Outpost,Poximity,20,Colonal Hathi's Pizza outpost,Proximity,100,Lunch and dinner,"La Cabana des Robinson,  Alice's Curious Labyrinth, Armageddon, Rock n roller coaster, moteurs action stunt show",Mickey Cafe,Rock n Roller Coaster,Moteurs Action Stunt Show,46,M,Yes,Yes,,Loosely,"Long waits, other - proximity",Yes,Alice's Curious Labyrinth,Yes,Rock n roller coaster and peter pan,Yes,,No,,,"Good Experience, could direct to attractions. Bonus should be in the same park as user."
222,18:25:00,4/27/2011,6,6,2,6,6,6,no,,no,,no,,very good,,,bonus,130,Cafe Hyperion,,,Afternoon snack,,,,,34,Female,yes,yes,never,closely,tired Children,yes,,no,,no,poo eu le temps,no,,,
222,18:15:00,4/22/2011,5,6,0,2,0,3,no,,yes,,no,,good,,Disney Store,proximity,40,Cafe Hyperion,wait times and proximity,50,lunch,captain EO,,,,13,Male,no,no,never,closely,long waits,yes,,yes,,yes,,no,,,
224,15:28:00,4/23/2011,7,7,0,3,0,5,Yes,Updates for waiting times slow,No,,No,Not enough time spent in park,Very Good,Had I phone app very similar,"The Emporium, Walt Disney Studios Store, Disney Store, World of toys",,300,Disney Blockbuster cafe,"Food Offerings, Proximity",50,Lunch and afternoon snack,"La cabane des robinson, armageddon, rock n roller coaster",space mountain,Tower of terror,rock n roller coaster,11,f,No,No,Never,"does not apply, did not have a plan",Long waits,Yes,"Robinson, nautilus, rock roller coaster",No,,,,Yes,2 gp de 2 pour 2 attractions/age,1 gp,really useful
224,22:25:00,4/24/2011,7,7,6,3,0,0,No,,yes,,no,,Excellent,Very good,"Walt Disney Studio Store, world of toys","Merchandise offerings , store look and feel",200,"Agrabah cafe restaurant, restaurant hakuna matata",wait time proximity,20,"Morning snack, afternoon snack","Flying carpets over agrabah, armageddon, rock n roller coaster, tower of teror, playhouse disney live on stage",Tower of terror,,,26,Female,no,no,never,Exactly,tired children,,,yes,,,,no,,,wait time should be accurate
224,12:05:00,4/25/2011,2,6,4,2,2,4,No,,No,,No,,Good,,My group has not purchased any merchandise at the Disneyland Paris resort today,,,My group has not purchased any meals at the Disneyland Paris resort today,,300,Breakfast lunch and dinner,"Armageddon, tower of terror",Street characters ,tower of terror,space mountain,37,Male,Yes,Yes,Never,Loosely,Long waits and tired children,Yes,Armageddon,Yes,Tower of terror,, ,Yes,children age and hieght,,More details it has to be needed
224,15:45:00,4/28/2011,7,7,0,0,5,4,No,,No,,No,,Very Good,Useful,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,Restaurant en coullise,Proximity,45,"Breakfast, lunch and afternoon snack","Art of Disney animation, stitch live, cinemagique, Armageddon, Moteurs action stunt show",Stitch,Moteurs,Cinemagique,21,Male,Yes,Yes,Never,Does not apply did not have a plan,,No,,No,,,,No,,,Intersting device
224,20:00:00,4/29/2011,7,7,5,6,6,5,No,,no,,yes,,very good,,Plaza West shop,Proximity,30,Snack Kabob,"Food offerings, proximity",25,Dinner and afternoon snack,"Le pays des contes de fees, its a small world, flying carpets over agrabah, cinemagique",Its a small world,flying carpets over agrabah,Buzz lightyear,40,Male,yes,yes,never,closely,Long waits,yes,le pays des contes de fees,yes,flying carpets over agrabah and Buzz lightyear,yes/No,,no,,,Cabane des robinson active allos que ferme'. teyrs d' attente devrauent appoirai le sur la carte'
224,21:40:00,4/30/2011,5,5,3,1,2,3,No,,Yes,sala les teps d'altente,No,,Good,,,Store look and feel,120,"Cafe Hyperion, Pizzaria bella notte",food offerings ,50,"lunch, and afternoon snack","Le Pays des Contes de Fees, Alice's Curious Labyrinth, Its a small world",small world,dumbo,pirates of the Carribean,38,M,yes,No,Never,Does not apply did not have a plan,,Yes,Small World,No,,,,No,,,
224,20:16:00,4/22/2011,7,7,,0,0,4,yes,,no,,yes,,excellent,,,store look and feel and proximity,40,Colonel Hathis pizza outpost,Price,,lunch,"le pays des contes de fees, alice's curious labyrinth, its a small world, tower of terror",Tour isla pimata,indiana jones,,,,yes,yes,never,loosely,long waits,no,,,,no,no comprabamos,yes,,,todo excellente
225,19:40:00,4/25/2011,7,7,7,7,7,7,No,,No,,Yes,,Excellent,Very Useful to have,Walt Disney Studio Store,Merchandise offerings,145,Agrabah Cafe restaurant,Proximity,60,Lunch ,,Thunder mountain railroad,parade,Buzz Lightyear,37,Male,No,No,Never,Cloesely,Tired Children,No,,Yes,Thunder mountain,No,hight restrictions,yes,height restrictions,person who stayed behind,excellent device would definitely use again
225,12:30:00,4/26/2011,1,1,1,1,3,2,Yes,,No,,No,,Just okay,,Walt Disney Studio Store,Merchandise offerings,40,Buzz lightyear pizza planet,Food offerings,60,Breakfast and lunch,"Stitch live, Moteurs action stunt show",Stitch Live,,,"5,11,35",Male and female,Yes,Yes,Never,Loosely,long waits,Yes,,No,,,,No,,,
225,18:35:00,4/26/2011,7,7,6,5,7,7,Yes,Bug sur le premia,Yes,temps d'attente,yes,,Excellent,Fonction tres utile,"Les Legends de hollywood, tower hotel gifts","Merchandise offerings, bonus",50,Restaurant en coulisse,Food offerings and bonus,70,Lunch and afternoon snack,"Art of disney animation, stitch live, flying carpets over agrabah, studio tram toor, cinemagique, roc n roller coaster, tower of terror",Stitch Live,rock n roller coaster,tower of terror,31,Female,no,no,Never,closely,long waits,yes,rock n roller coaster,no,,,,Yes,preferance des attractions,tonyams la meme personne,tres utile appreciable
225,18:21:00,4/29/2011,4,6,4,5,4,2,yes,you can easily get to the home screen and install apps,no,,no,The bonus was at the other park,good,"its okay, perhaps some more features","Plaza West shop,Disney Store, World of Toys","Merchandise offerings, Proximity",150,"Agrabah Cafe, Buzz lightyears pizza planet, Restaurant en coulisse","Food offerings, Wait time, Reservations",210,Breakfast and lunch and dinner,"Its a small world, Captain EO, Art of Disney animation Stitch live, Flying carpets over agrabah, Studio tram tour, Cinemagique, Armageddon, Tower of terror, Moteurs action stunt show, Playhouse disney live on stage",Tower of terror,Stitch live,Moteurs action stunt show,26,Male,yes,yes,a few times,loosely,long waits and tired children,yes,"Buzz lightyear, pirates of the carribean",yes,"Buzz lightyear, space mountain, tower of terror",,,yes,Tired infant,I did ,The device can be hacked by pressing the home button and scree. This way you get total access to the device inclusive the market place. You can then install a file manager and copy the disney app to somewhere else. The running service wont stop this from happening as you can turn it off.
225,20:40:00,4/30/2011,4,6,6,1,0,5,No,,Yes, ,No,,Good, ,,Proximity,60,,,,,"Alice's Curious Labyrinth, Its a small world",Les Poupier,Haunted Mansion,Space Mountain,9,F,Yes,Yes,Never,Not at all,,No,,No,,,,No,,,
225,15:08:00,4/27/2011,7,7,7,7,7,5,yes,other languages,no,,yes,,very good,quite helpful,"Walt Disney Studios Store, Tower Hotel Gifts",Merchandise offerings,150,Restaurant en coulisse,Proximtiy and price,75,lunch,"Cinemagique, rock n roller coaster, tower of terror, moteurs action stunt show",tower of terror ,rock n roller coaster,crush's coaster,17,Female,no,no,never,Not at all,long waits,yes,tower of terror,no,,no,,no,,,very helpful
226,5:18:00,4/23/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In a rush for dining reservations and didn't take survey
226,13:10:00,4/29/2011,6,6,6,2,2,2,no,,yes,,no,,very good,very useful to choose which attraction to go to first,my group has not purchased any merchandise at the disneyland paris resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris resort today,,,,"Le pays des contes de fees, Alice's curious labyrinth, its a small world, Captain Eo, Flying carpets over agrabah, Cinemagique, Armageddon ",Indiana jones,its a small world,autopia,40,Male,yes,yes,never,Does not apply did not have a plan,,yes,,no,,,,no,,,"create a link between the waiting time of an attraction and its location on the map, add toilets, more details about the attractions on the map, attractions names written in english on the map though the device was in french."
226,18:00:00,4/29/2011,7,7,0,0,6,3,Yes,Battery,yes,,yes,,very good,Utilite,,Store look and feel,40,My group has not purchased any meals or snacks at the Disneyland Paris Resort this trip,,,,"Its a small world, rock n roller coaster, tower of terror",rock n roller coaster,tower of terror,peter pan,38,Male,yes,no,never,Does not apply did not have a plan,,yes,"Tapis volant, Bateau Roue",yes,"peter pan, indiana jones, space mountain",,,Yes,age,Man,
226,16:50:00,4/30/2011,6,5,0,0,0,0,No,,No,,Yes,,Very good,Its easier than paper map,My group has not purchased any merchandise from the Disneyland Paris Resort today,,,"Pizzeria Bella Notte, Disneys Blockbuster Cafe",Wait Time,50,Lunch and afternoon snack,,,,Atmosphere,,,No,No,Never,Does not apply did not have a plan,,Yes,Ship (brown...),No,,,,No,,,
226,19:40:00,4/22/2011,5,5,5,3,3,3,no,,yes,,no,,good,,The Emporium,store look and feel  ,35,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,,Its a small world,,,,12,Female,yes,,never,does not apply did not have a plan,,yes,,no,,,,yes,difference d'age done d'attractions,camille 12 year old,
227,19:04:00,4/23/2011,4,5,3,0,0,5,No,,,,Yes,,Very Good,This is what I feel,"Walt Disney Studios Store, Tower Hotel Gifts, Art of Animation","Merchandise offerings, store look and feel",,Restaurant en coulisse,,,,,,,,,,,,,,,,,,,,,,,,
227,18:55:00,4/24/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1800,4/25/2011,4,5,0,0,0,0,No,,No,,No,,Good,Not enough time to assess the product,,,,Cowboy cookout BBQ,Other- like the place,60,lunch and afternoon snack,"La pays des contes de fees, its a small world, captain eo",Its a small world,pirates of the carribean,parade,48,Female,Yes,Yes,Never,Does not apply did not have a plan,,Yes,,No,,,,No,,,
227,18:35:00,4/26/2011,6,6,5,2,3,2,No,,No,,No,,Very Good,,The Emporium and Disney Store,Store look and feel,,Agrabah Cafe,Price,30,Dinner,"Stitch live, studio tram tour, cinemagique",,,,,,Yes,No,Never,closely,tired children,yes,,,,yes,,yes,,,
